url,title,price_usd,price_kgs,year,mileage_km,engine,transmission,city,image_url
https://mashina.kg/details/kia-k3-69fdcda78ba09589264029,Kia K3 II,11750,1027538,2019,113413,1.6 л.,вариатор,Кант,https://im.mashina.kg/tachka/images/5/f/7/5f77c00c46df7abdf84837fbb96826da_640x480.jpg
https://mashina.kg/details/toyota-rav4-6a016a85db1ab764478529,Toyota RAV4 V (XA50),33400,2920830,2026,13,2.0 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/3/6/b/36b7beb1e79f19f0c831b45f09ce6621_640x480.jpg
https://mashina.kg/details/bmw-x7-69f9ff43cdd84134308434,BMW X7 I (G07) Рестайлинг,98500,8613825,2023,9000,3.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/c/8/1c8c02bcf0e2f304fc123210a8f2136b_640x480.jpg
https://mashina.kg/details/lexus-rz-69fb55dc46e7a588935090,Lexus RZ,29300,2562285,2023,46000,,,Бишкек,https://im.mashina.kg/tachka/images/1/a/3/1a326cfbcd51ea00902560c605dc2862_640x480.jpg
https://mashina.kg/details/toyota-land-cruiser-69f077547e79d343061298,Toyota Land Cruiser 300 Series,95000,8307750,2022,60000,3.4 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/0/d/e/0de75b8f6fc822e282465daec6c12181_640x480.jpg
https://mashina.kg/details/subaru-forester-69ecc7e07b637605136458,Subaru Forester II Рестайлинг,9000,787050,2008,290000,2.0 л.,автомат,Кант,https://im.mashina.kg/tachka/images/1/1/d/11dc04199fcfd8bb7cdeefe320c41f72_640x480.jpg
https://mashina.kg/details/lexus-lx-69fc8220dc2fe465010619,Lexus LX III Рестайлинг 2,90000,7870500,2020,95000,5.7 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/9/1/5/91527240db006dfaebbdab272e9df21e_640x480.jpg
https://mashina.kg/details/mercedesbenz-sklass-68e26b7c2c51d646469737,Mercedes-Benz S-Класс V (W221) Рестайлинг,22000,1923900,2011,110000,4.7 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/7/6/e/76eb573eec7d8fec4928b7302329f9d9_640x480.jpg
https://mashina.kg/details/cadillac-escalade-69d613a3986e2088226754,Cadillac Escalade IV,55000,4809750,2019,126000,6.2 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/5/5/2/552c966cb222217652a538ed6640042f_640x480.jpg
https://mashina.kg/details/toyota-avalon-69f1d0fca5d42420690798,Toyota Avalon V,24500,2142525,2019,86500,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/a/d/4/ad441e7555a179c1bdcedbdad67747de_640x480.jpg
https://mashina.kg/details/bmw-7-serii-69d3b6186eb7e527217549,BMW 7 серии VI (G11/G12) Рестайлинг,44500,3891525,2020,55000,4.4 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/a/f/8/af8f3bbb351bea72d98ec0457db8645d_640x480.jpg
https://mashina.kg/details/lexus-gx-6a03f8d3fbdd8588bfd7093a,Продажа Lexus GX I 2005,19500,1705275,2005,250000,4.7 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-13/10030777/cc51e8a62c09828227fbe55c52216f34_medium.webp
https://mashina.kg/details/bmw-ix1-69e9c769e8c9a581664158,BMW iX1,27500,2404875,2025,118,,,Бишкек,https://im.mashina.kg/tachka/images/d/a/f/dafda473b5f7b6e95db6a6725f7f8ccd_640x480.jpg
https://mashina.kg/details/bmw-x5-6a042a193c1971fe108c52ef,Продажа BMW X5 IV (G05/G18) 2021,48400,4232580,2021,71000,3.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-13/10031047/0b352812f7f55353b5b815b82694511f_medium.webp
